Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,6.84,6.84,2,6.96,6.96,3,7.09,7.09,4,7.16,7.16
1,8.95,15.79,2,8.95,15.91,3,8.83,15.92,4,9.16,16.32
1,8.66,24.45,2,8.65,24.56,3,8.68,24.60,4,8.74,25.06
4,11.05,35.50,2,9.00,33.56,1,8.89,33.49,3,8.96,34.02
1,7.18,42.680,2,9.70,43.258,0,,DQ,3,9.43,43.447
