Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
3,10.48,10.48,1,10.35,10.35,2,10.41,10.41,5,10.62,10.62,4,10.56,10.56,6,10.69,10.69
4,14.66,25.14,1,14.45,24.80,3,14.65,25.06,6,14.75,25.37,2,14.38,24.94,5,14.59,25.28
4,14.36,39.50,1,14.30,39.10,3,14.33,39.39,6,14.33,39.70,2,14.28,39.22,5,14.36,39.64
4,14.12,53.62,1,14.13,53.23,3,14.11,53.50,6,14.20,53.90,2,14.14,53.36,5,14.13,53.77
4,13.56,1:07.18,1,13.80,1:07.03,2,13.55,1:07.05,6,13.49,1:07.39,3,13.80,1:07.16,5,13.53,1:07.30
1,10.60,1:17.78,3,11.14,1:18.17,2,10.92,1:17.97,6,11.13,1:18.52,4,11.12,1:18.28,4,10.98,1:18.28
1,10.51,1:28.29,3,10.39,1:28.56,2,10.44,1:28.41,6,10.38,1:28.90,5,10.52,1:28.80,4,10.42,1:28.70
2,10.44,1:38.73,1,10.03,1:38.59,3,10.42,1:38.83,6,10.32,1:39.22,5,10.27,1:39.07,4,10.27,1:38.97
3,10.08,1:48.81,1,10.00,1:48.59,2,9.79,1:48.62,6,10.02,1:49.24,5,9.89,1:48.96,4,9.90,1:48.87
4,9.97,1:58.78,2,9.94,1:58.53,1,9.78,1:58.40,6,10.17,1:59.41,5,9.90,1:58.86,3,9.77,1:58.64
5,10.20,2:08.98,2,9.95,2:08.48,1,9.93,2:08.33,6,10.47,2:09.88,4,9.95,2:08.81,3,9.93,2:08.57
5,10.13,2:19.11,3,9.99,2:18.47,1,9.90,2:18.23,6,11.09,2:20.97,4,9.87,2:18.68,2,9.67,2:18.24
5,10.47,2:29.58,3,9.84,2:28.31,2,9.83,2:28.06,6,11.53,2:32.50,4,9.75,2:28.43,1,9.36,2:27.60
5,11.09,2:40.671,3,9.74,2:38.039,2,9.94,2:38.00,6,11.76,2:44.263,4,9.83,2:38.255,1,9.81,2:37.41
