ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
3,13.38,13.38,2,13.27,13.27,4,13.47,13.47,5,13.54,13.54,1,13.26,13.26
3,10.34,23.72,2,10.38,23.65,5,10.37,23.84,4,10.27,23.81,1,10.32,23.58
1,10.18,33.90,3,10.34,33.99,5,10.37,34.21,4,10.33,34.14,2,10.33,33.91
2,10.01,43.91,3,9.97,43.96,5,10.01,44.22,4,9.98,44.12,1,9.92,43.83
3,10.02,53.93,2,9.81,53.77,5,9.96,54.18,4,9.97,54.09,1,9.86,53.69
3,9.99,1:03.92,2,10.02,1:03.79,5,9.97,1:04.15,4,10.00,1:04.09,1,10.00,1:03.69
3,10.03,1:13.95,2,9.95,1:13.74,5,10.17,1:14.32,4,10.17,1:14.26,1,9.96,1:13.65
3,10.24,1:24.19,2,9.95,1:23.69,4,10.31,1:24.63,5,10.78,1:25.04,1,9.94,1:23.59
3,10.51,1:34.697,2,9.95,1:33.631,4,10.20,1:34.821,5,11.47,1:36.510,1,9.95,1:33.533
