YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,9.49,9.49,5,9.79,9.79,4,9.77,9.77,3,9.68,9.68,1,9.46,9.46,6,9.96,9.96
5,12.85,22.34,1,12.31,22.10,3,12.37,22.14,6,12.72,22.40,4,12.79,22.25,2,12.15,22.11
4,11.96,34.30,5,12.25,34.35,1,12.00,34.14,6,12.24,34.64,3,12.01,34.26,2,12.13,34.24
4,11.17,45.47,5,11.20,45.55,2,11.11,45.25,6,10.94,45.58,1,10.87,45.13,3,11.15,45.39
4,10.32,55.79,6,10.42,55.97,3,10.47,55.72,1,9.85,55.43,2,10.51,55.64,5,10.46,55.85
4,10.28,1:06.07,6,10.35,1:06.32,2,10.26,1:05.98,3,10.57,1:06.00,1,10.26,1:05.90,5,10.32,1:06.17
2,10.01,1:16.08,6,10.06,1:16.38,1,10.02,1:16.00,5,10.19,1:16.19,3,10.18,1:16.08,4,10.02,1:16.19
2,9.84,1:25.92,6,10.03,1:26.41,1,9.85,1:25.85,4,10.02,1:26.21,3,9.97,1:26.05,5,10.03,1:26.22
2,9.76,1:35.68,6,9.83,1:36.24,1,9.73,1:35.58,4,9.76,1:35.97,3,9.74,1:35.79,5,9.87,1:36.09
2,9.58,1:45.26,6,9.60,1:45.84,1,9.59,1:45.17,4,9.59,1:45.56,3,9.55,1:45.34,5,9.62,1:45.71
2,9.46,1:54.72,6,9.48,1:55.32,1,9.45,1:54.62,4,9.46,1:55.02,3,9.49,1:54.83,5,9.43,1:55.14
2,9.39,2:04.11,6,9.43,2:04.75,1,9.40,2:04.02,4,9.36,2:04.38,3,9.36,2:04.19,5,9.37,2:04.51
2,9.41,2:13.52,6,10.12,2:14.87,1,9.38,2:13.40,4,9.38,2:13.76,3,9.42,2:13.61,5,9.39,2:13.90
2,9.42,2:22.934,6,10.89,2:25.755,1,9.46,2:22.860,5,9.65,2:23.406,3,9.44,2:23.050,4,9.51,2:23.406
