Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
6,9.65,9.65,3,9.48,9.48,4,9.54,9.54,1,9.38,9.38,2,9.40,9.40,5,9.63,9.63
6,11.62,21.27,1,10.93,20.41,4,11.48,21.02,5,11.80,21.18,2,11.33,20.73,3,11.23,20.86
6,10.24,31.51,1,10.60,31.01,4,10.32,31.34,5,10.23,31.41,2,10.39,31.12,3,10.38,31.24
6,10.73,42.24,1,10.69,41.70,4,10.68,42.02,5,10.72,42.13,2,10.69,41.81,3,10.69,41.93
6,10.89,53.13,1,10.87,52.57,4,10.85,52.87,5,10.91,53.04,2,10.86,52.67,3,10.82,52.75
6,10.89,1:04.02,1,10.93,1:03.50,4,10.91,1:03.78,5,10.88,1:03.92,2,10.93,1:03.60,3,10.93,1:03.68
6,23.49,1:27.51,1,10.99,1:14.49,4,11.00,1:14.78,5,10.98,1:14.90,2,11.04,1:14.64,3,11.01,1:14.69
6,20.88,1:48.39,1,10.58,1:25.07,5,10.63,1:25.41,4,10.44,1:25.34,2,10.52,1:25.16,3,10.59,1:25.28
6,13.19,2:01.58,1,10.39,1:35.46,5,10.49,1:35.90,4,10.45,1:35.79,2,10.41,1:35.57,3,10.40,1:35.68
6,12.89,2:14.47,1,10.21,1:45.67,5,10.14,1:46.04,4,10.10,1:45.89,2,10.19,1:45.76,3,10.16,1:45.84
6,13.36,2:27.83,2,10.04,1:55.71,5,10.02,1:56.06,4,9.89,1:55.78,1,9.73,1:55.49,3,9.90,1:55.74
6,12.44,2:40.27,5,10.87,2:06.58,4,10.05,2:06.11,3,9.97,2:05.75,1,9.73,2:05.22,2,9.79,2:05.53
6,16.84,2:57.11,5,10.99,2:17.57,4,10.37,2:16.48,3,9.88,2:15.63,1,9.91,2:15.13,2,10.03,2:15.56
0,,notime,5,11.95,2:29.512,4,10.67,2:27.147,3,10.42,2:26.049,1,10.11,2:25.238,2,10.40,2:25.957
