Ademir BABAIC POSITION,Ademir BABAIC LAP TIME,Ademir BABAIC ELAPSED TIME,Max BACKSTROM POSITION,Max BACKSTROM LAP TIME,Max BACKSTROM ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
2,10.47,10.47,1,10.39,10.39,3,11.07,11.07,4,11.20,11.20,5,11.27,11.27
2,16.75,27.22,4,17.05,27.44,3,16.35,27.42,1,15.93,27.13,5,17.12,28.39
2,16.87,44.09,3,16.80,44.24,4,16.84,44.26,1,16.75,43.88,5,16.60,44.99
1,14.58,58.67,2,14.57,58.81,4,14.76,59.02,3,14.96,58.84,5,14.78,59.77
2,12.21,1:10.88,1,11.88,1:10.69,3,12.00,1:11.02,4,12.22,1:11.06,5,11.64,1:11.41
4,11.07,1:21.95,2,11.05,1:21.74,3,10.89,1:21.91,1,10.59,1:21.65,5,10.87,1:22.28
3,10.63,1:32.58,4,10.86,1:32.60,1,10.32,1:32.23,2,10.59,1:32.24,5,10.69,1:32.97
4,10.35,1:42.93,5,10.34,1:42.94,2,10.11,1:42.34,3,10.16,1:42.40,1,9.21,1:42.18
4,9.55,1:52.48,5,10.09,1:53.03,2,9.44,1:51.78,1,9.32,1:51.72,3,9.93,1:52.11
4,9.98,2:02.46,5,10.09,2:03.12,1,9.49,2:01.27,2,9.65,2:01.37,3,9.32,2:01.43
4,10.63,2:13.09,5,10.37,2:13.49,3,9.97,2:11.24,2,9.81,2:11.18,1,9.72,2:11.15
4,10.38,2:23.47,5,10.84,2:24.33,2,9.30,2:20.54,3,9.58,2:20.76,1,9.36,2:20.51
4,10.97,2:34.44,5,11.42,2:35.75,3,9.73,2:30.27,1,9.36,2:30.12,2,9.73,2:30.24
4,12.09,2:46.530,5,11.55,2:47.292,2,10.25,2:40.511,3,10.48,2:40.594,1,9.34,2:39.578
