BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
4,14.35,14.35,2,14.21,14.21,3,14.34,14.34,1,14.19,14.19,5,14.45,14.45
2,10.59,24.94,1,10.61,24.82,3,10.69,25.03,4,10.96,25.15,5,10.82,25.27
1,10.13,35.07,2,10.37,35.19,3,10.25,35.28,4,10.21,35.36,5,10.21,35.48
2,10.23,45.30,1,9.99,45.18,3,10.15,45.43,4,10.20,45.56,5,10.22,45.70
2,9.47,54.77,1,9.58,54.76,3,9.51,54.94,4,9.52,55.08,5,9.71,55.41
1,9.53,1:04.30,1,9.54,1:04.30,3,9.49,1:04.43,4,9.45,1:04.53,5,9.95,1:05.36
3,9.54,1:13.84,1,9.31,1:13.61,2,9.28,1:13.71,4,9.42,1:13.95,5,10.45,1:15.81
3,9.36,1:23.20,1,9.31,1:22.92,2,9.29,1:23.00,4,9.30,1:23.25,5,10.93,1:26.74
4,10.09,1:33.29,1,9.52,1:32.44,2,9.49,1:32.49,3,9.37,1:32.62,5,11.34,1:38.08
