SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
2,7.34,7.34,1,7.25,7.25,4,7.63,7.63,3,7.48,7.48,5,7.70,7.70
3,9.48,16.82,1,9.38,16.63,4,9.24,16.87,2,9.26,16.74,5,9.34,17.04
4,8.97,25.79,1,8.84,25.47,3,8.84,25.71,2,8.84,25.58,5,8.92,25.96
4,8.88,34.67,1,8.90,34.37,3,8.91,34.62,2,8.84,34.42,5,8.99,34.95
5,27.43,1:02.106,4,18.80,53.176,2,9.24,43.86,1,9.30,43.72,3,9.28,44.235
