Nicolas PERREAULT POSITION,Nicolas PERREAULT LAP TIME,Nicolas PERREAULT ELAPSED TIME,CHANG Hyun Woo POSITION,CHANG Hyun Woo LAP TIME,CHANG Hyun Woo ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Warre Van DAMME POSITION,Warre Van DAMME LAP TIME,Warre Van DAMME ELAPSED TIME,Piius Yie Kiat SNG POSITION,Piius Yie Kiat SNG LAP TIME,Piius Yie Kiat SNG ELAPSED TIME
2,8.42,8.42,5,8.95,8.95,6,9.07,9.07,3,8.69,8.69,1,8.31,8.31,4,8.81,8.81
2,11.48,19.90,5,11.41,20.36,6,11.39,20.46,3,11.31,20.00,1,11.47,19.78,4,11.34,20.15
2,11.10,31.00,6,11.07,31.43,5,10.90,31.36,3,11.10,31.10,1,11.11,30.89,4,11.08,31.23
2,10.95,41.95,5,10.75,42.18,4,10.76,42.12,3,10.92,42.02,1,10.98,41.87,6,11.05,42.28
2,9.81,51.76,1,9.42,51.60,4,10.04,52.16,3,9.87,51.89,5,10.33,52.20,6,10.17,52.45
2,9.13,1:00.89,1,9.22,1:00.82,4,9.42,1:01.58,3,9.10,1:00.99,5,9.65,1:01.85,6,9.73,1:02.18
2,9.41,1:10.30,1,9.37,1:10.19,4,9.33,1:10.91,3,9.39,1:10.38,5,9.53,1:11.38,6,10.09,1:12.27
2,9.47,1:19.77,1,9.47,1:19.66,4,9.50,1:20.41,3,9.51,1:19.89,5,9.79,1:21.17,6,10.39,1:22.66
2,9.42,1:29.19,1,9.43,1:29.09,4,9.87,1:30.28,3,9.44,1:29.33,5,10.11,1:31.28,6,10.72,1:33.38
2,9.39,1:38.58,1,9.37,1:38.46,4,10.34,1:40.62,3,9.38,1:38.71,5,10.41,1:41.69,6,10.95,1:44.33
2,9.26,1:47.84,1,9.28,1:47.74,4,10.54,1:51.16,3,9.30,1:48.01,5,10.65,1:52.34,6,10.94,1:55.27
2,9.35,1:57.19,1,9.33,1:57.07,4,10.82,2:01.98,3,9.45,1:57.46,5,10.82,2:03.16,6,12.05,2:07.32
2,9.46,2:06.65,1,9.44,2:06.51,4,11.07,2:13.05,3,9.91,2:07.37,5,10.96,2:14.12,6,11.40,2:18.72
2,9.61,2:16.26,1,9.56,2:16.07,4,11.15,2:24.20,3,10.42,2:17.79,5,10.94,2:25.06,6,11.36,2:30.08
