Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME
1,7.86,7.86,3,8.23,8.23,4,8.29,8.29,2,7.88,7.88,5,8.35,8.35
1,10.28,18.14,3,9.98,18.21,4,10.04,18.33,2,10.26,18.14,5,9.99,18.34
5,44.15,1:02.29,1,9.57,27.78,4,23.65,41.98,2,9.83,27.97,3,17.85,36.19
5,16.65,1:18.94,1,9.62,37.40,4,12.82,54.80,2,9.63,37.60,3,11.72,47.91
4,12.80,1:31.736,1,9.75,47.149,3,13.26,1:08.051,0,,PEN,2,11.12,59.028
