Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
2,8.18,8.18,4,8.43,8.43,1,8.08,8.08,3,8.30,8.30,5,8.55,8.55
1,11.74,19.92,4,11.74,20.17,3,11.93,20.01,2,11.70,20.00,5,11.72,20.27
2,11.05,30.97,5,11.07,31.24,1,10.92,30.93,4,11.09,31.09,3,10.74,31.01
2,10.56,41.53,5,10.59,41.83,1,10.52,41.45,3,10.53,41.62,4,10.71,41.72
1,10.37,51.90,4,10.25,52.08,5,10.65,52.10,3,10.39,52.01,2,10.23,51.95
2,9.39,1:01.29,1,9.10,1:01.18,3,9.28,1:01.38,5,9.67,1:01.68,4,9.62,1:01.57
2,9.34,1:10.63,1,9.36,1:10.54,3,9.33,1:10.71,5,9.24,1:10.92,4,9.26,1:10.83
2,9.34,1:19.97,1,9.42,1:19.96,3,9.44,1:20.15,5,9.44,1:20.36,4,9.43,1:20.26
1,9.09,1:29.06,2,9.18,1:29.14,3,9.11,1:29.26,5,9.13,1:29.49,4,9.12,1:29.38
1,9.24,1:38.30,2,9.28,1:38.42,3,9.17,1:38.43,5,9.05,1:38.54,4,9.16,1:38.54
1,8.99,1:47.29,2,8.98,1:47.40,5,9.69,1:48.12,3,9.12,1:47.66,4,9.25,1:47.79
1,8.91,1:56.20,2,8.90,1:56.30,5,8.99,1:57.11,3,8.93,1:56.59,4,9.00,1:56.79
1,8.95,2:05.15,2,8.95,2:05.25,5,9.17,2:06.28,3,8.98,2:05.57,4,9.18,2:05.97
1,9.13,2:14.273,2,9.16,2:14.404,4,9.92,2:16.193,0,,PEN,3,9.74,2:15.707
