MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
1,9.90,9.90,3,10.08,10.08,4,10.18,10.18,2,10.01,10.01
1,13.13,23.03,3,13.19,23.27,4,13.20,23.38,2,13.13,23.14
1,12.15,35.18,3,12.17,35.44,4,12.19,35.57,2,12.16,35.30
1,11.36,46.54,3,11.36,46.80,4,11.35,46.92,2,11.38,46.68
1,10.84,57.38,3,10.82,57.62,4,10.86,57.78,2,10.83,57.51
1,10.50,1:07.88,3,10.50,1:08.12,4,10.50,1:08.28,2,10.50,1:08.01
1,9.93,1:17.81,3,9.96,1:18.08,4,9.90,1:18.18,2,9.91,1:17.92
1,9.68,1:27.49,3,9.68,1:27.76,4,9.69,1:27.87,2,9.69,1:27.61
1,9.43,1:36.92,3,9.52,1:37.28,4,9.61,1:37.48,2,9.44,1:37.05
1,9.34,1:46.26,3,9.60,1:46.88,4,10.09,1:47.57,2,9.40,1:46.45
1,9.34,1:55.60,3,9.97,1:56.85,4,11.03,1:58.60,2,9.63,1:56.08
1,9.61,2:05.21,3,10.30,2:07.15,4,11.63,2:10.23,2,10.06,2:06.14
1,9.99,2:15.20,3,10.67,2:17.82,4,12.32,2:22.55,2,10.43,2:16.57
1,10.73,2:25.937,3,10.77,2:28.576,4,12.62,2:35.187,2,10.74,2:27.322
