SHA Kexin POSITION,SHA Kexin LAP TIME,SHA Kexin ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Michal DOMANSKI POSITION,Michal DOMANSKI LAP TIME,Michal DOMANSKI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
2,12.81,12.81,3,12.91,,5,13.02,13.02,1,12.73,12.73,4,12.99,12.99
2,9.84,22.65,3,9.87,,5,9.98,23.00,1,9.83,22.56,4,9.88,22.87
2,9.41,32.06,3,9.39,,5,9.41,32.41,1,9.41,31.97,4,9.40,32.27
5,9.62,41.68,3,9.21,,4,9.12,41.53,1,9.30,41.27,2,9.08,41.35
3,9.23,50.91,4,25.17,,5,30.54,1:12.07,1,9.15,50.42,2,9.16,50.51
3,9.12,1:00.03,5,46.49,,4,35.51,1:47.58,2,9.25,59.67,1,9.14,59.65
3,9.18,1:09.21,5,16.21,,4,15.97,2:03.55,2,9.35,1:09.02,1,9.26,1:08.91
3,9.39,1:18.60,5,13.66,,4,12.96,2:16.51,2,9.48,1:18.50,1,9.50,1:18.41
3,9.95,1:28.55,5,13.31,,4,12.23,2:28.74,1,9.71,1:28.21,2,10.00,1:28.41
