Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,12.73,12.73,1,12.50,12.50,2,12.61,12.61,4,12.90,12.90,5,13.02,13.02
3,10.10,22.83,1,10.08,22.58,2,10.11,22.72,5,10.03,22.93,4,9.89,22.91
5,9.66,32.49,2,9.65,32.23,4,9.62,32.34,3,9.36,32.29,1,9.24,32.15
5,9.41,41.90,2,9.30,41.53,4,9.44,41.78,3,9.40,41.69,1,9.28,41.43
5,9.44,51.34,2,9.48,51.01,4,9.40,51.18,3,9.34,51.03,1,9.49,50.92
5,9.32,1:00.66,4,9.55,1:00.56,3,9.35,1:00.53,2,9.32,1:00.35,1,9.34,1:00.26
3,9.24,1:09.90,4,9.50,1:10.06,5,27.98,1:28.51,1,9.30,1:09.65,2,9.50,1:09.76
2,9.26,1:19.16,4,9.67,1:19.73,5,34.15,2:02.66,1,9.45,1:19.10,3,9.47,1:19.23
3,9.63,1:28.785,4,9.81,1:29.540,5,19.27,2:21.929,1,9.54,1:28.640,2,9.56,1:28.783
