Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
4,9.22,9.22,5,9.40,9.40,6,9.41,9.41,1,8.87,8.87,2,9.06,9.06,3,9.06,9.06
5,12.71,21.94,4,12.43,21.84,6,12.64,22.05,2,12.54,21.41,1,12.26,21.32,3,12.56,21.62
4,12.06,34.01,6,12.28,34.12,5,12.05,34.10,1,12.25,33.67,3,12.52,33.85,2,12.07,33.70
6,12.75,46.76,5,12.62,46.74,4,12.60,46.70,2,12.63,46.30,1,12.27,46.12,3,12.60,46.31
5,11.15,57.91,6,11.17,57.92,1,10.89,57.59,2,11.36,57.66,3,11.57,57.69,4,11.45,57.76
6,10.63,1:08.55,5,10.59,1:08.51,4,10.89,1:08.49,1,10.27,1:07.93,2,10.36,1:08.06,3,10.50,1:08.27
5,10.57,1:19.13,6,10.93,1:19.44,3,10.41,1:18.91,1,10.74,1:18.68,4,10.91,1:18.97,2,10.58,1:18.85
4,10.31,1:29.44,5,10.25,1:29.69,6,10.82,1:29.73,1,10.49,1:29.17,2,10.32,1:29.30,3,10.55,1:29.40
4,10.32,1:39.76,5,10.32,1:40.02,6,10.55,1:40.28,1,10.23,1:39.41,2,10.28,1:39.58,3,10.21,1:39.62
4,9.80,1:49.56,6,9.87,1:49.89,5,9.57,1:49.86,1,9.72,1:49.13,3,9.86,1:49.44,2,9.68,1:49.30
4,9.71,1:59.28,5,9.81,1:59.70,6,9.97,1:59.83,1,9.68,1:58.81,3,9.68,1:59.12,2,9.77,1:59.08
4,9.47,2:08.76,5,9.71,2:09.41,6,10.09,2:09.92,2,9.78,2:08.60,3,9.49,2:08.62,1,9.46,2:08.54
4,9.70,2:18.46,5,10.07,2:19.49,6,10.64,2:20.57,1,9.41,2:18.01,2,9.41,2:18.03,3,9.62,2:18.17
4,9.95,2:28.408,5,10.40,2:29.890,6,11.16,2:31.728,2,9.87,2:27.874,3,9.95,2:27.976,1,9.61,2:27.781
