LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
4,9.48,9.48,6,9.69,9.69,5,9.53,9.53,2,9.36,9.36,3,9.42,9.42,1,9.27,9.27
5,13.07,22.55,1,12.24,21.93,6,13.23,22.76,3,12.96,22.32,4,13.04,22.46,2,12.88,22.15
1,10.51,33.06,2,11.38,33.31,6,11.01,33.77,4,11.21,33.53,5,11.18,33.64,3,11.27,33.42
1,10.96,44.02,2,10.74,44.05,6,10.72,44.49,4,10.75,44.28,5,10.75,44.39,3,10.75,44.17
2,10.61,54.63,1,10.43,54.48,4,10.29,54.78,5,10.52,54.80,6,10.56,54.95,3,10.55,54.72
4,10.38,1:05.01,1,10.34,1:04.82,2,10.09,1:04.87,6,10.51,1:05.31,3,10.06,1:05.01,5,10.32,1:05.04
5,10.02,1:15.03,2,9.78,1:14.60,3,9.91,1:14.78,6,9.73,1:15.04,1,9.48,1:14.49,4,9.85,1:14.89
6,10.18,1:25.21,2,10.15,1:24.75,3,10.06,1:24.84,5,9.93,1:24.97,1,10.18,1:24.67,4,10.06,1:24.95
6,10.43,1:35.64,2,10.35,1:35.10,4,10.40,1:35.24,5,10.40,1:35.37,1,10.42,1:35.09,3,10.25,1:35.20
6,10.06,1:45.70,1,9.73,1:44.83,4,9.91,1:45.15,5,9.94,1:45.31,2,9.85,1:44.94,3,9.82,1:45.02
6,10.43,1:56.13,1,9.68,1:54.51,4,9.65,1:54.80,5,9.66,1:54.97,2,9.66,1:54.60,3,9.66,1:54.68
6,11.00,2:07.13,1,9.59,2:04.10,4,9.71,2:04.51,5,9.69,2:04.66,2,9.60,2:04.20,3,9.57,2:04.25
6,11.52,2:18.65,2,9.57,2:13.67,4,9.87,2:14.38,5,9.76,2:14.42,3,9.57,2:13.77,1,9.17,2:13.42
6,11.98,2:30.624,2,9.86,2:23.529,5,10.38,2:24.751,4,10.18,2:24.594,3,9.92,2:23.685,1,9.69,2:23.104
