Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
3,13.28,13.28,2,13.17,13.17,4,13.35,13.35,1,13.08,13.08
2,10.12,23.40,1,9.89,23.06,3,10.07,23.42,4,16.30,29.38
2,9.69,33.09,1,9.79,32.85,3,9.82,33.24,4,16.63,46.01
2,9.72,42.81,1,9.86,42.71,3,9.76,43.00,4,12.59,58.60
2,9.76,52.57,1,9.76,52.47,3,9.81,52.81,4,11.45,1:10.05
2,9.59,1:02.16,1,9.59,1:02.06,3,10.07,1:02.88,4,12.09,1:22.14
2,9.58,1:11.74,1,9.56,1:11.62,3,10.51,1:13.39,4,12.11,1:34.25
2,9.67,1:21.41,1,9.69,1:21.31,3,11.00,1:24.39,4,12.68,1:46.93
0,,PEN,1,9.85,1:31.156,2,11.61,1:35.996,0,,PEN
