Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
1,12.60,12.60,2,12.66,12.66,5,12.82,12.82,4,12.82,12.82,3,12.81,12.81
1,9.72,22.32,5,17.77,30.43,4,11.65,24.47,2,9.55,22.38,3,9.64,22.45
2,9.91,32.23,5,16.20,46.63,4,7.93,32.40,1,9.83,32.21,3,9.83,32.29
3,10.43,42.67,5,12.67,59.31,4,10.39,42.79,2,10.45,42.66,1,10.33,42.62
3,10.33,53.00,5,13.36,1:12.68,4,10.22,53.01,2,10.32,52.98,1,10.22,52.84
2,9.84,1:02.85,5,12.74,1:25.42,4,9.94,1:02.96,3,9.90,1:02.89,1,9.74,1:02.58
3,10.08,1:12.93,5,12.17,1:37.59,4,10.10,1:13.07,2,10.02,1:12.91,1,10.02,1:12.60
3,10.34,1:23.28,5,11.85,1:49.45,4,10.25,1:23.32,2,10.30,1:23.22,1,10.37,1:22.98
2,9.99,1:33.264,5,12.20,2:01.647,4,10.33,1:33.647,1,9.94,1:33.158,3,10.62,1:33.596
