LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,Vladislav MIKHAILOV POSITION,Vladislav MIKHAILOV LAP TIME,Vladislav MIKHAILOV ELAPSED TIME,Mak KRSTIC POSITION,Mak KRSTIC LAP TIME,Mak KRSTIC ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME,Stanislav OMELCHENKO POSITION,Stanislav OMELCHENKO LAP TIME,Stanislav OMELCHENKO ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME
2,8.66,8.66,3,8.79,8.79,1,8.17,,6,9.62,9.62,5,9.21,9.21,4,9.06,9.06,7,9.79,9.79
2,10.63,19.29,3,10.60,19.39,1,11.01,,6,10.26,19.88,4,10.30,19.51,4,10.45,19.51,7,10.27,20.06
2,10.81,30.10,3,10.77,30.16,1,10.85,,6,10.70,30.58,5,10.87,30.38,4,10.76,30.27,7,10.69,30.75
2,11.15,41.25,3,11.21,41.37,1,11.10,,6,11.24,41.82,5,11.24,41.62,4,11.23,41.50,7,11.22,41.97
1,11.07,52.32,2,11.18,52.55,3,11.45,,6,11.13,52.95,4,11.02,52.64,5,11.27,52.77,7,11.12,53.09
1,10.79,1:03.11,2,10.70,1:03.25,6,11.57,,5,11.04,1:03.99,3,11.10,1:03.74,3,10.97,1:03.74,7,11.13,1:04.22
1,10.18,1:13.29,2,10.17,1:13.42,7,11.72,,5,10.06,1:14.05,4,10.18,1:13.92,3,10.02,1:13.76,6,9.93,1:14.15
1,9.85,1:23.14,2,9.84,1:23.26,7,12.42,,4,9.75,1:23.80,6,10.22,1:24.14,3,9.89,1:23.65,5,9.89,1:24.04
1,9.93,1:33.07,2,9.89,1:33.15,7,13.04,,3,9.48,1:33.28,6,10.32,1:34.46,5,10.03,1:33.68,4,9.57,1:33.61
3,10.10,1:43.17,4,10.14,1:43.29,7,14.29,,1,9.37,1:42.65,6,10.77,1:45.23,5,10.24,1:43.92,2,9.44,1:43.05
3,10.19,1:53.36,4,10.20,1:53.49,7,13.26,,1,9.52,1:52.17,6,11.31,1:56.54,5,10.67,1:54.59,2,9.37,1:52.42
3,10.47,2:03.83,4,10.44,2:03.93,7,12.74,,1,9.39,2:01.56,6,11.78,2:08.32,5,11.01,2:05.60,2,9.31,2:01.73
3,10.75,2:14.58,4,10.77,2:14.70,7,12.53,,1,9.49,2:11.05,6,12.15,2:20.47,5,11.33,2:16.93,2,9.41,2:11.14
3,11.17,2:25.75,4,11.21,2:25.91,7,14.34,2:48.49,2,10.25,2:21.30,6,12.40,2:32.87,5,11.56,2:28.49,1,9.73,2:20.87
