Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
6,10.93,10.93,4,10.77,10.77,5,10.90,10.90,1,10.53,10.53,2,10.58,10.58,3,10.63,10.63
6,15.19,26.12,5,15.23,26.00,4,14.84,25.74,3,15.15,25.68,1,14.92,25.50,2,14.97,25.60
5,14.10,40.22,6,14.26,40.26,4,14.37,40.11,3,14.29,39.97,1,14.24,39.74,2,14.24,39.84
4,14.39,54.61,6,14.63,54.89,5,14.51,54.62,3,14.52,54.49,2,14.53,54.27,1,14.35,54.19
5,13.12,1:07.73,6,13.02,1:07.91,1,12.38,1:07.00,4,13.04,1:07.53,3,13.11,1:07.38,2,13.02,1:07.21
5,11.01,1:18.74,4,10.80,1:18.71,1,11.50,1:18.50,2,11.09,1:18.62,6,11.43,1:18.81,3,11.44,1:18.65
5,9.75,1:28.49,1,9.46,1:28.17,3,9.89,1:28.39,2,9.67,1:28.29,6,9.84,1:28.65,4,9.76,1:28.41
4,9.45,1:37.94,1,9.59,1:37.76,3,9.53,1:37.92,2,9.56,1:37.85,6,9.59,1:38.24,5,9.58,1:37.99
4,9.34,1:47.28,1,9.23,1:46.99,5,9.39,1:47.31,2,9.23,1:47.08,6,9.29,1:47.53,3,9.19,1:47.18
4,9.28,1:56.56,1,9.22,1:56.21,5,9.36,1:56.67,2,9.21,1:56.29,6,9.25,1:56.78,3,9.25,1:56.43
4,9.13,2:05.69,1,9.11,2:05.32,5,9.09,2:05.76,2,9.11,2:05.40,6,9.11,2:05.89,3,9.11,2:05.54
6,9.47,2:15.16,1,9.05,2:14.37,4,9.16,2:14.92,1,8.97,2:14.37,5,9.06,2:14.95,3,8.98,2:14.52
6,9.94,2:25.10,2,9.11,2:23.48,5,9.28,2:24.20,1,8.91,2:23.28,4,9.22,2:24.17,3,9.03,2:23.55
6,10.60,2:35.70,2,9.13,2:32.61,5,9.81,2:34.01,1,9.15,2:32.43,4,9.56,2:33.73,3,9.18,2:32.73
