KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,6.87,6.87,1,6.70,6.70,3,6.99,6.99,4,7.14,7.14
2,8.83,15.70,1,8.88,15.58,3,8.89,15.88,4,8.91,16.05
1,8.32,24.02,2,8.56,24.14,3,8.41,24.29,4,8.37,24.42
1,8.43,32.45,2,8.74,32.88,4,8.70,32.99,3,8.54,32.96
1,8.52,40.964,2,8.98,41.859,3,9.36,42.342,0,,PEN
