Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
4,16.418,16.418,3,16.328,16.328,2,16.285,16.285,1,16.224,16.224
4,12.023,28.441,1,11.818,28.146,2,11.990,28.275,3,12.180,28.404
1,11.457,39.899,3,12.029,40.175,2,11.871,40.146,4,11.929,40.333
1,10.522,50.421,4,10.608,50.783,3,10.566,50.712,2,10.281,50.613
1,9.861,1:00.282,4,9.760,1:00.544,3,9.789,1:00.500,2,9.716,1:00.329
2,9.985,1:10.267,4,10.061,1:10.605,1,9.378,1:09.878,3,9.967,1:10.296
2,9.976,1:20.242,4,10.023,1:20.628,1,10.144,1:20.023,3,10.082,1:20.378
3,10.247,1:30.489,4,10.286,1:30.914,1,10.217,1:30.240,2,10.075,1:30.453
2,10.188,1:40.677,4,10.558,1:41.472,1,10.364,1:40.603,3,10.306,1:40.758
