Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME
1,14.576,14.576,4,14.706,14.706,3,14.663,14.663,2,14.597,14.597
2,10.522,25.097,4,10.557,25.263,3,10.588,25.251,1,10.417,25.013
2,9.980,35.077,3,9.865,35.127,4,9.929,35.180,1,9.985,34.998
1,10.150,45.226,3,10.219,45.345,4,10.178,45.357,2,10.228,45.226
2,10.398,55.624,1,10.180,55.525,4,10.484,55.841,3,10.416,55.641
3,10.404,1:06.027,2,10.419,1:05.943,4,10.322,1:06.162,1,10.240,1:05.881
4,10.515,1:16.542,1,9.931,1:15.874,3,10.327,1:16.489,2,10.053,1:15.934
4,11.168,1:27.710,1,10.440,1:26.313,3,10.414,1:26.903,2,10.428,1:26.362
4,11.23,1:38.940,1,10.33,1:36.639,3,10.29,1:37.188,2,10.37,1:36.728
