Brandon KIM POSITION,Brandon KIM LAP TIME,Brandon KIM ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,Lubomir KALCHEV POSITION,Lubomir KALCHEV LAP TIME,Lubomir KALCHEV ELAPSED TIME
2,14.76,14.76,4,14.99,14.99,3,14.86,14.86,1,14.59,14.59,5,15.04,15.04
3,11.36,26.12,4,11.31,26.30,1,10.99,25.85,2,11.41,26.00,5,11.45,26.49
3,10.41,36.53,4,10.40,36.70,1,10.57,36.42,2,10.52,36.52,5,10.36,36.85
2,10.03,46.56,4,10.10,46.80,1,9.99,46.41,3,10.16,46.68,5,10.18,47.03
2,9.38,55.94,4,9.29,56.09,1,9.43,55.84,3,9.32,56.00,5,9.47,56.50
2,8.99,1:04.93,4,9.10,1:05.19,1,9.01,1:04.85,3,9.02,1:05.02,5,9.05,1:05.55
1,8.74,1:13.67,4,9.06,1:14.25,2,9.00,1:13.85,3,8.94,1:13.96,5,9.12,1:14.67
1,9.00,1:22.67,4,9.13,1:23.38,2,9.19,1:23.04,3,9.20,1:23.16,5,9.52,1:24.19
1,9.44,1:32.11,4,9.30,1:32.68,2,9.33,1:32.37,3,9.32,1:32.48,5,10.05,1:34.24
