Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME
2,6.83,6.83,1,6.68,6.68,3,6.99,6.99,4,7.13,7.13
3,8.88,15.71,1,8.77,15.45,2,8.66,15.65,4,8.69,15.82
3,8.38,24.09,1,8.37,23.82,2,8.36,24.01,4,8.35,24.17
3,8.48,32.57,1,8.58,32.40,2,8.48,32.49,4,8.42,32.59
4,8.94,41.497,1,8.81,41.21,0,,PHOTO,3,,41.282
