Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Ekaterina STUKANOV POSITION,Ekaterina STUKANOV LAP TIME,Ekaterina STUKANOV ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
3,16.588,16.588,4,16.670,16.670,1,16.260,16.260,2,16.270,16.270
4,11.304,27.892,2,11.055,27.725,3,11.490,27.750,1,11.214,27.483
4,10.517,38.408,2,10.405,38.130,3,10.543,38.292,1,10.511,37.994
4,10.814,49.222,2,10.789,48.919,3,10.775,49.067,1,10.854,48.848
2,10.120,59.341,1,10.326,59.244,3,10.393,59.459,4,14.578,1:03.425
3,10.547,1:09.888,1,9.990,1:09.234,2,10.267,1:09.726,4,18.884,1:22.308
2,9.976,1:19.864,1,10.143,1:19.377,3,10.292,1:20.017,4,12.159,1:34.467
2,10.173,1:30.036,1,10.499,1:29.875,3,10.604,1:30.621,4,12.111,1:46.578
1,10.31,1:40.340,2,10.74,1:40.614,3,10.87,1:41.490,4,12.06,1:58.630
