QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME
1,7.26,,3,7.39,7.39,2,7.37,,4,7.56,7.56,5,7.76,7.76
3,9.71,,1,9.40,16.79,2,9.59,,4,9.49,17.05,5,9.36,17.12
5,30.35,,1,8.94,25.73,4,9.91,,3,9.07,26.12,2,8.88,26.00
5,15.57,,1,8.99,34.72,4,9.68,,3,8.83,34.95,2,8.88,34.88
5,15.00,1:17.89,1,9.12,43.84,4,10.00,,2,9.02,43.97,3,9.16,44.04
