Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Mikkel K ORITSLAND POSITION,Mikkel K ORITSLAND LAP TIME,Mikkel K ORITSLAND ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,7.10,7.10,4,7.56,7.56,3,7.15,7.15,2,7.12,7.12
1,9.09,16.19,4,9.98,17.54,2,9.12,16.27,3,9.27,16.39
1,8.74,24.93,4,9.68,27.22,2,8.69,24.96,3,8.72,25.11
3,8.96,33.89,4,10.06,37.28,1,8.80,33.76,2,8.76,33.87
3,9.16,43.047,4,10.16,47.438,1,8.98,42.737,2,8.94,42.806
