LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
3,7.36,7.36,2,7.07,7.07,1,6.83,6.83,4,7.49,7.49
3,8.96,16.32,2,9.17,16.24,1,9.18,16.02,4,9.12,16.62
2,8.52,24.85,3,8.77,25.02,1,8.59,24.61,4,8.43,25.05
2,8.65,33.51,3,8.77,33.79,1,8.70,33.31,4,9.15,34.21
1,8.71,42.217,4,9.47,43.259,2,9.12,42.429,3,8.94,43.148
