CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
4,13.61,13.61,3,13.43,13.43,1,13.21,13.21,5,13.71,13.71,2,13.33,13.33
4,10.66,24.27,3,10.83,24.26,2,10.93,24.14,5,10.65,24.36,1,10.71,24.04
4,9.84,34.11,1,9.49,33.75,3,9.82,33.96,5,9.85,34.21,2,9.82,33.86
4,9.54,43.65,1,9.61,43.36,3,9.55,43.51,5,9.56,43.77,2,9.58,43.44
3,9.36,53.01,1,9.49,52.85,4,9.51,53.02,5,9.40,53.17,2,9.51,52.95
3,9.50,1:02.51,1,9.49,1:02.34,4,9.75,1:02.77,5,9.67,1:02.84,2,9.48,1:02.43
2,9.32,1:11.83,1,9.42,1:11.76,4,9.33,1:12.10,5,9.38,1:12.22,3,9.46,1:11.89
2,9.59,1:21.42,1,9.62,1:21.38,3,9.54,1:21.64,4,9.43,1:21.65,5,9.94,1:21.83
1,,1:31.008,3,,1:31.356,4,,1:31.369,2,,1:31.019,5,9.93,1:31.747
