CHEON Hee Jung POSITION,CHEON Hee Jung LAP TIME,CHEON Hee Jung ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Nathalie PRESCHER POSITION,Nathalie PRESCHER LAP TIME,Nathalie PRESCHER ELAPSED TIME
2,8.39,8.39,1,8.26,8.26,3,8.55,8.55,4,8.65,8.65
2,9.55,17.94,1,9.55,17.81,3,9.54,18.09,4,9.61,18.26
1,9.42,27.36,2,9.65,27.46,3,9.50,27.59,4,9.66,27.92
1,9.55,36.91,2,9.67,37.13,3,9.64,37.23,4,10.00,37.92
1,9.53,46.433,2,10.00,47.128,3,10.23,47.458,4,10.15,48.063
