Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Anja CHONG POSITION,Anja CHONG LAP TIME,Anja CHONG ELAPSED TIME
1,13.72,13.72,4,13.92,13.92,2,13.81,13.81,3,13.91,13.91,5,14.15,14.15
1,10.94,24.66,3,10.96,24.88,2,10.97,24.78,4,11.05,24.96,5,10.89,25.04
1,11.40,36.06,3,11.47,36.35,2,11.46,36.24,4,11.52,36.48,5,11.59,36.63
1,11.05,47.11,3,11.09,47.44,2,11.08,47.32,4,11.07,47.55,5,11.22,47.85
1,10.47,57.58,3,10.41,57.85,2,10.41,57.73,4,10.42,57.97,5,10.49,58.34
1,9.97,1:07.55,3,9.89,1:07.74,2,9.90,1:07.63,4,9.86,1:07.83,5,10.61,1:08.95
2,9.92,1:17.47,3,9.81,1:17.55,1,9.68,1:17.31,4,9.89,1:17.72,5,11.16,1:20.11
3,9.71,1:27.18,2,9.57,1:27.12,1,9.65,1:26.96,4,9.75,1:27.47,5,11.78,1:31.89
3,9.85,1:37.010,2,9.88,1:37.00,1,9.72,1:36.68,4,9.97,1:37.426,5,12.17,1:44.035
