Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,CHUNG Pui Wan Anthony POSITION,CHUNG Pui Wan Anthony LAP TIME,CHUNG Pui Wan Anthony ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,YANG Bo-Kai POSITION,YANG Bo-Kai LAP TIME,YANG Bo-Kai ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME
1,9.56,9.56,4,9.75,9.75,5,9.97,9.97,2,9.61,9.61,3,9.73,9.73,6,10.26,10.26
4,14.17,23.73,1,13.78,23.53,5,14.00,23.97,3,14.09,23.70,2,13.96,23.69,6,13.72,23.98
1,11.64,35.37,3,12.14,35.67,6,12.59,36.56,2,11.89,35.59,5,12.24,35.93,4,11.72,35.70
1,12.50,47.87,4,12.56,48.23,6,11.96,48.52,2,12.33,47.92,5,12.31,48.24,3,12.51,48.21
3,12.82,1:00.69,1,12.30,1:00.53,6,12.77,1:01.29,2,12.69,1:00.61,5,12.73,1:00.97,4,12.59,1:00.80
3,11.82,1:12.51,1,11.76,1:12.29,6,11.92,1:13.21,2,11.85,1:12.46,5,11.87,1:12.84,4,11.87,1:12.67
3,11.36,1:23.87,1,11.44,1:23.73,6,12.11,1:25.32,2,11.36,1:23.82,5,12.15,1:24.99,4,11.36,1:24.03
2,10.93,1:34.80,1,11.01,1:34.74,6,12.10,1:37.42,4,11.02,1:34.84,5,9.96,1:34.95,3,10.81,1:34.84
3,10.15,1:44.95,1,10.01,1:44.75,6,12.40,1:49.82,2,9.99,1:44.83,5,10.48,1:45.43,4,10.37,1:45.21
3,9.75,1:54.70,1,9.80,1:54.55,6,12.95,2:02.77,2,9.79,1:54.62,5,9.98,1:55.41,4,9.54,1:54.75
3,9.86,2:04.56,1,9.88,2:04.43,6,14.85,2:17.62,2,9.89,2:04.51,5,10.72,2:06.13,4,9.86,2:04.61
2,9.92,2:14.48,1,9.82,2:14.25,6,13.04,2:30.66,3,10.03,2:14.54,5,11.69,2:17.82,4,9.99,2:14.60
2,9.93,2:24.41,1,9.96,2:24.21,6,13.09,2:43.75,5,26.34,2:40.88,3,11.16,2:28.98,4,21.61,2:36.21
2,10.22,2:34.629,1,10.32,2:34.529,5,13.59,2:57.339,0,,DQ,3,11.98,2:40.951,4,13.42,2:49.626
