CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,Evelien van KERCKVOORDE POSITION,Evelien van KERCKVOORDE LAP TIME,Evelien van KERCKVOORDE ELAPSED TIME
5,9.45,9.45,1,9.02,9.02,6,9.69,9.69,2,9.15,9.15,3,9.30,,4,9.42,9.42,7,9.78,9.78
5,12.61,22.06,2,12.70,21.72,6,12.58,22.27,3,12.69,21.84,4,12.65,,1,12.17,21.59,7,12.60,22.38
5,11.92,33.98,1,11.77,33.49,6,11.86,34.13,3,11.86,33.70,4,11.87,,2,11.99,33.58,7,11.85,34.23
5,10.97,44.95,2,11.11,44.60,6,11.00,45.13,1,10.84,44.54,4,11.01,,3,11.17,44.75,7,10.98,45.21
5,10.59,55.54,2,10.67,55.27,6,10.52,55.65,1,10.63,55.17,4,10.55,,3,10.61,55.36,7,10.58,55.79
5,10.87,1:06.41,2,10.85,1:06.12,6,10.85,1:06.50,1,10.84,1:06.01,3,10.81,,4,10.94,1:06.30,7,10.80,1:06.59
5,11.06,1:17.47,2,11.03,1:17.15,6,11.08,1:17.58,1,11.02,1:17.03,3,11.05,,4,11.05,1:17.35,7,11.09,1:17.68
5,11.10,1:28.57,2,11.07,1:28.22,6,11.09,1:28.67,1,11.09,1:28.12,3,11.03,,4,11.06,1:28.41,7,11.11,1:28.79
5,10.46,1:39.03,2,10.49,1:38.71,6,10.46,1:39.13,1,10.46,1:38.58,3,10.51,,4,10.48,1:38.89,7,10.60,1:39.39
5,10.17,1:49.20,2,10.22,1:48.93,6,10.18,1:49.31,1,10.23,1:48.81,3,10.16,,4,10.22,1:49.11,7,10.29,1:49.68
3,9.85,1:59.05,3,10.12,1:59.05,5,9.91,1:59.22,1,9.73,1:58.54,7,21.66,,2,9.92,1:59.03,6,10.64,2:00.32
2,9.24,2:08.29,5,10.46,2:09.51,4,10.07,2:09.29,1,9.73,2:08.27,7,26.73,,3,10.08,2:09.11,6,11.14,2:11.46
1,9.29,2:17.58,5,10.16,2:19.67,4,10.03,2:19.32,2,9.79,2:18.06,7,13.88,,3,10.12,2:19.23,6,11.70,2:23.16
1,9.56,2:27.131,5,10.19,2:29.841,3,10.06,2:29.368,2,9.94,2:27.979,7,11.69,,4,10.42,2:29.630,6,12.16,2:35.302
