PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
4,14.61,14.61,3,14.46,14.46,1,14.11,14.11,2,14.30,14.30
4,11.00,25.61,3,11.00,25.46,2,11.23,25.34,1,10.95,25.25
4,10.32,35.93,3,10.29,35.75,2,10.27,35.61,1,10.25,35.50
4,9.71,45.64,3,9.71,45.46,2,9.85,45.46,1,9.83,45.33
2,8.84,54.48,4,9.36,54.82,1,8.90,54.36,3,9.21,54.54
2,8.63,1:03.11,4,8.77,1:03.59,1,8.58,1:02.94,3,8.86,1:03.40
2,8.70,1:11.81,4,8.69,1:12.28,1,8.74,1:11.68,3,8.79,1:12.19
2,8.93,1:20.74,4,8.97,1:21.25,1,8.85,1:20.53,3,8.99,1:21.18
2,8.91,1:29.641,0,,PEN,1,9.05,1:29.575,3,10.03,1:31.210
