Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
1,12.78,12.78,2,12.84,12.84,3,12.96,12.96,5,13.18,13.18,4,13.05,13.05
1,10.12,22.90,2,10.13,22.97,3,10.09,23.05,5,10.09,23.27,4,10.09,23.14
1,10.00,32.90,2,9.99,32.96,3,9.99,33.04,5,9.99,33.26,4,10.00,33.14
1,9.53,42.43,2,9.58,42.54,3,9.61,42.65,5,9.59,42.85,4,9.59,42.73
2,9.48,51.91,3,9.38,51.92,1,9.10,51.75,5,9.31,52.16,4,9.31,52.04
3,9.24,1:01.15,2,9.15,1:01.07,1,8.85,1:00.60,5,9.17,1:01.33,4,9.18,1:01.22
3,9.26,1:10.41,2,9.30,1:10.37,1,8.99,1:09.59,5,9.30,1:10.63,4,9.26,1:10.48
3,9.43,1:19.84,2,9.39,1:19.76,1,9.30,1:18.89,5,9.43,1:20.06,4,9.48,1:19.96
2,9.52,1:29.353,3,9.72,1:29.478,1,9.87,1:28.759,4,9.64,1:29.694,5,9.89,1:29.843
