Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Philemon RAINER POSITION,Philemon RAINER LAP TIME,Philemon RAINER ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Wojciech KAMIENSKI POSITION,Wojciech KAMIENSKI LAP TIME,Wojciech KAMIENSKI ELAPSED TIME
2,13.27,13.27,4,13.69,13.69,1,13.16,13.16,3,13.40,13.40
2,10.28,23.55,4,10.06,23.75,1,10.30,23.46,3,10.25,23.65
2,10.23,33.78,4,10.21,33.96,1,10.25,33.71,3,10.21,33.86
2,10.44,44.22,3,10.39,44.35,1,10.47,44.18,4,10.49,44.35
1,10.07,54.29,3,10.46,54.81,4,10.84,55.02,2,10.05,54.40
1,9.81,1:04.10,3,10.35,1:05.16,4,10.85,1:05.87,2,9.85,1:04.25
1,9.52,1:13.62,3,10.36,1:15.52,4,11.01,1:16.88,2,9.47,1:13.72
1,9.56,1:23.18,3,10.60,1:26.12,4,11.35,1:28.23,2,9.54,1:23.26
1,9.74,1:32.920,3,11.10,1:37.213,4,11.67,1:39.899,2,9.97,1:33.225
