LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
2,13.19,13.19,1,13.09,13.09,3,13.35,13.35,4,13.48,13.48
3,10.50,23.69,2,10.47,23.56,1,10.05,23.40,4,10.39,23.87
3,10.02,33.71,1,9.93,33.49,2,10.20,33.60,4,9.98,33.85
3,10.19,43.90,1,10.33,43.82,2,10.29,43.89,4,10.22,44.07
2,9.88,53.78,1,9.96,53.78,3,10.07,53.96,4,10.01,54.08
2,10.21,1:03.99,1,10.16,1:03.94,3,10.16,1:04.12,4,10.16,1:04.24
1,9.43,1:13.42,2,9.88,1:13.82,4,19.29,1:23.41,3,9.77,1:14.01
1,9.91,1:23.33,2,9.59,1:23.41,4,19.86,1:43.27,3,10.46,1:24.47
1,10.21,1:33.533,2,10.21,1:33.611,4,13.80,1:57.062,3,11.38,1:35.841
