MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME
1,7.42,7.42,3,7.68,7.68,2,7.52,7.52,4,7.83,7.83
1,9.71,17.13,3,9.68,17.36,2,9.73,17.25,4,9.64,17.47
1,9.24,26.37,3,9.13,26.49,2,9.16,26.41,4,9.20,26.67
2,9.35,35.72,3,9.32,35.81,1,9.19,35.60,4,9.21,35.88
2,9.43,45.144,4,9.60,45.402,1,9.46,45.060,3,9.38,45.254
