Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,12.972,12.972,3,13.275,13.275,2,13.149,13.149,4,13.349,13.349
3,10.620,23.592,1,10.123,23.398,2,10.271,23.419,4,10.512,23.861
3,9.747,33.339,1,9.723,33.120,2,9.737,33.156,4,9.748,33.608
3,9.504,42.843,1,9.394,42.513,2,9.518,42.673,4,9.497,43.105
3,9.279,52.121,1,9.560,52.073,2,9.439,52.112,4,9.301,52.405
2,9.586,1:01.707,1,9.561,1:01.633,3,9.633,1:01.745,4,9.707,1:02.112
1,9.647,1:11.354,3,9.887,1:11.520,2,9.653,1:11.397,4,9.558,1:11.670
1,9.640,1:20.993,4,10.292,1:21.812,2,9.669,1:21.066,3,9.527,1:21.196
1,9.77,1:30.755,4,11.00,1:32.806,2,9.73,1:30.790,3,9.76,1:30.952
