Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,KIM Do Kyoum POSITION,KIM Do Kyoum LAP TIME,KIM Do Kyoum ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
3,14.62,14.62,4,14.74,14.74,5,14.85,14.85,2,14.58,14.58,1,14.49,
1,10.85,25.47,4,11.10,25.84,5,11.17,26.02,3,11.14,25.72,2,11.10,
1,10.40,35.87,4,10.33,36.17,5,10.30,36.32,3,10.36,36.08,2,10.40,
2,10.01,45.88,4,10.12,46.29,5,10.11,46.43,3,9.90,45.98,1,9.85,
2,9.49,55.37,4,9.38,55.67,5,9.45,55.88,3,9.50,55.48,1,9.45,
4,9.40,1:04.77,3,8.92,1:04.59,5,9.16,1:05.04,2,9.09,1:04.57,1,9.15,
4,9.31,1:14.08,1,8.60,1:13.19,5,9.17,1:14.21,3,8.90,1:13.47,2,9.00,
2,9.65,1:23.73,1,8.69,1:21.88,3,9.61,1:23.82,4,30.13,1:43.60,5,31.62,
3,9.99,1:33.724,1,9.38,1:31.26,2,9.81,1:33.63,4,13.95,1:57.55,5,18.11,
