Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
3,17.37,17.37,2,17.21,17.21,1,17.08,17.08
3,13.04,30.41,2,13.02,30.23,1,13.03,30.11
3,11.73,42.14,2,11.82,42.05,1,11.84,41.95
3,11.16,53.30,2,11.10,53.15,1,11.10,53.05
3,10.55,1:03.85,2,10.50,1:03.65,1,10.54,1:03.59
3,9.42,1:13.27,2,9.52,1:13.17,1,9.50,1:13.09
3,9.31,1:22.58,2,9.34,1:22.51,1,9.36,1:22.45
1,8.85,1:31.43,3,9.38,1:31.89,2,9.36,1:31.81
1,9.19,1:40.615,3,9.34,1:41.227,2,9.39,1:41.191
