KOLODYAZHNYY Oleksandr POSITION,KOLODYAZHNYY Oleksandr LAP TIME,KOLODYAZHNYY Oleksandr ELAPSED TIME,MINEAU Joel POSITION,MINEAU Joel LAP TIME,MINEAU Joel ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Jakov DOLINIC POSITION,Jakov DOLINIC LAP TIME,Jakov DOLINIC ELAPSED TIME
2,14.524,14.524,4,14.844,14.844,1,14.373,14.373,3,14.547,14.547
2,10.538,25.062,3,10.538,25.382,1,10.507,24.880,4,11.023,25.569
3,10.319,35.380,1,9.438,34.819,2,10.380,35.259,4,10.884,36.453
3,10.014,45.394,1,9.638,44.457,2,9.415,44.673,4,10.914,47.367
3,10.117,55.510,2,10.894,55.350,1,9.658,54.331,4,11.159,58.526
3,10.477,1:05.987,1,8.437,1:03.787,2,9.708,1:04.038,4,11.657,1:10.182
3,10.826,1:16.812,1,10.201,1:13.988,2,10.187,1:14.225,4,12.187,1:22.368
3,11.454,1:28.265,1,10.384,1:24.371,2,10.597,1:24.821,4,13.432,1:35.800
3,11.58,1:39.845,1,10.00,1:34.368,2,9.59,1:34.404,4,12.08,1:47.871
