Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,STELZMEULLER Matthias POSITION,STELZMEULLER Matthias LAP TIME,STELZMEULLER Matthias ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,9.10,9.10,3,9.36,9.36,2,9.33,9.33,4,9.41,9.41,0,,,5,9.97,9.97
1,14.06,23.16,3,14.01,23.37,4,14.25,23.58,2,13.85,23.27,0,,,5,13.84,23.81
1,13.48,36.65,2,13.42,36.80,4,13.53,37.11,3,13.73,37.01,0,,,5,13.67,37.48
2,12.99,49.64,3,13.02,49.82,4,12.87,49.98,1,12.62,49.63,0,,,5,12.94,50.43
1,12.70,1:02.35,3,12.76,1:02.59,4,12.75,1:02.74,2,12.92,1:02.55,0,,,5,12.59,1:03.02
1,12.34,1:14.70,3,12.37,1:14.96,4,12.35,1:15.10,2,12.33,1:14.88,0,,,5,12.54,1:15.56
2,11.74,1:26.44,3,11.74,1:26.70,4,11.67,1:26.77,1,11.14,1:26.03,0,,,5,11.88,1:27.44
2,10.00,1:36.45,4,9.83,1:36.53,3,9.71,1:36.48,1,10.14,1:36.17,0,,,5,11.88,1:39.32
2,9.81,1:46.26,3,9.83,1:46.37,4,9.97,1:46.46,1,9.90,1:46.07,0,,,5,11.91,1:51.24
2,9.75,1:56.02,3,9.88,1:56.25,4,10.19,1:56.66,1,9.76,1:55.83,0,,,5,11.81,2:03.05
2,9.14,2:05.17,3,9.25,2:05.50,4,9.87,2:06.53,1,9.20,2:05.04,0,,,5,13.32,2:16.38
2,9.12,2:14.29,3,9.32,2:14.83,4,10.18,2:16.72,1,9.09,2:14.13,0,,,5,12.33,2:28.71
2,9.57,2:23.87,3,9.64,2:24.47,4,10.48,2:27.20,1,9.53,2:23.66,0,,,5,11.76,2:40.47
2,9.71,2:33.574,3,10.25,2:34.713,4,11.36,2:38.551,1,9.91,2:33.568,0,,DNS,5,11.56,2:52.025
