RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME
5,18.84,18.84,2,18.42,18.42,1,18.23,18.23,3,18.55,18.55,4,18.69,18.69
1,13.62,32.46,4,14.22,32.64,2,14.30,32.53,3,14.06,32.61,5,14.16,32.85
1,10.42,42.88,3,10.54,43.18,2,10.48,43.01,4,10.77,43.38,5,10.70,43.55
1,10.09,52.97,3,9.99,53.17,2,10.06,53.07,4,9.83,53.21,5,9.84,53.39
4,10.24,1:03.21,2,9.91,1:03.08,1,9.92,1:02.99,3,9.91,1:03.12,5,9.89,1:03.28
5,10.27,1:13.48,2,10.08,1:13.16,1,10.07,1:13.06,3,10.13,1:13.25,4,10.10,1:13.38
5,9.91,1:23.39,2,9.96,1:23.12,1,9.97,1:23.03,3,9.96,1:23.21,4,9.95,1:23.33
5,10.09,1:33.48,3,9.89,1:33.01,1,9.73,1:32.76,2,9.63,1:32.84,4,9.82,1:33.15
5,10.30,1:43.78,3,10.17,1:43.18,0,,PHOTO,0,,PHOTO,4,10.06,1:43.21
