Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
2,9.43,32.03,1,9.33,31.96,3,9.37,32.28,4,9.55,32.46
1,9.88,41.91,4,10.35,42.32,2,9.78,42.06,3,9.81,42.28
1,9.81,51.73,2,9.43,51.75,3,9.76,51.83,4,9.83,52.11
3,9.63,1:01.36,1,9.52,1:01.28,2,9.52,1:01.35,4,9.38,1:01.49
2,9.58,1:10.95,1,9.46,1:10.74,4,9.76,1:11.11,3,9.53,1:11.03
2,9.77,1:20.73,1,9.91,1:20.66,3,9.68,1:20.79,4,9.87,1:20.90
1,9.74,1:30.468,2,10.12,1:30.778,3,10.10,1:30.885,4,10.05,1:30.947
