KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,Mykyta KHOCHYN POSITION,Mykyta KHOCHYN LAP TIME,Mykyta KHOCHYN ELAPSED TIME,KHALIL Khairil Ridhwan POSITION,KHALIL Khairil Ridhwan LAP TIME,KHALIL Khairil Ridhwan ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME
4,13.59,13.59,2,13.31,13.31,1,13.15,13.15,3,13.44,13.44,5,13.77,13.77
4,9.68,23.27,2,9.60,22.91,1,9.64,22.79,3,9.72,23.16,5,9.70,23.47
3,9.33,32.60,2,9.55,32.46,1,9.51,32.30,5,23.09,46.25,4,11.20,34.67
3,9.57,42.17,2,9.62,42.08,1,9.68,41.98,5,20.97,1:07.22,4,14.21,48.88
3,9.92,52.09,2,9.90,51.98,1,9.86,51.84,5,17.41,1:24.63,4,12.46,1:01.34
3,9.95,1:02.04,2,9.97,1:01.95,1,10.04,1:01.88,5,14.83,1:39.46,4,12.10,1:13.44
1,10.37,1:12.41,4,27.35,1:29.30,2,11.72,1:13.60,5,12.79,1:52.25,3,10.29,1:23.73
1,10.49,1:22.90,4,18.09,1:47.39,2,11.81,1:25.41,5,12.40,2:04.65,3,9.81,1:33.54
1,10.50,1:33.387,4,13.62,2:00.973,2,12.70,1:38.084,5,12.71,2:17.309,3,10.18,1:43.702
