WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME
6,11.04,11.04,4,10.54,10.54,3,10.51,10.51,1,10.46,10.46,2,10.48,10.48,5,10.73,10.73
5,14.21,25.25,4,14.45,24.99,3,14.19,24.70,1,14.11,24.58,2,14.20,24.68,0,,
6,12.48,37.74,5,12.53,37.52,4,12.57,37.28,2,12.54,37.12,3,12.50,37.18,1,0.00,36.92
6,12.57,50.31,5,12.55,50.08,4,12.76,50.04,1,12.78,49.91,2,12.76,49.95,3,13.10,50.03
4,11.87,1:02.19,2,12.02,1:02.10,1,12.03,1:02.07,5,12.32,1:02.23,3,12.18,1:02.13,6,12.25,1:02.29
2,10.73,1:12.92,5,10.99,1:13.10,1,10.59,1:12.67,6,11.04,1:13.28,4,10.94,1:13.07,3,10.64,1:12.93
4,10.91,1:23.84,5,10.77,1:23.87,3,10.82,1:23.49,6,10.68,1:23.96,2,10.28,1:23.35,1,10.41,1:23.34
1,10.17,1:34.01,3,10.24,1:34.12,4,10.74,1:34.24,5,10.50,1:34.46,2,10.68,1:34.04,6,11.30,1:34.65
3,10.63,1:44.65,4,10.62,1:44.74,1,10.32,1:44.57,5,10.48,1:44.95,2,10.56,1:44.60,6,10.79,1:45.44
2,10.59,1:55.24,4,10.59,1:55.34,1,10.60,1:55.17,5,10.44,1:55.39,3,10.67,1:55.28,6,10.97,1:56.41
2,10.10,2:05.35,3,10.17,2:05.51,5,10.57,2:05.75,4,10.16,2:05.55,1,10.05,2:05.34,6,11.53,2:07.94
2,10.10,2:15.46,3,10.18,2:15.69,5,10.36,2:16.11,4,10.49,2:16.04,1,9.95,2:15.29,6,12.48,2:20.43
3,10.31,2:25.77,2,10.03,2:25.73,5,10.56,2:26.68,4,10.03,2:26.08,1,10.34,2:25.64,6,13.17,2:33.60
2,10.32,2:36.087,1,10.25,2:35.979,4,11.14,2:37.817,5,11.76,2:37.840,3,10.56,2:36.192,6,13.65,2:47.241
