MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,Anja CHONG POSITION,Anja CHONG LAP TIME,Anja CHONG ELAPSED TIME
3,14.05,14.05,1,14.00,14.00,2,14.04,14.04,4,14.21,14.21,5,14.35,14.35
3,10.62,24.67,2,10.57,24.57,1,10.36,24.40,4,10.57,24.78,5,10.56,24.91
3,10.50,35.17,1,10.45,35.02,2,10.72,35.12,4,10.55,35.33,5,10.54,35.45
2,9.90,45.07,1,9.94,44.96,4,10.39,45.51,3,10.04,45.37,5,10.20,45.65
2,9.97,55.04,1,9.99,54.95,5,10.16,55.67,3,9.79,55.16,4,9.97,55.62
2,10.00,1:05.04,1,10.00,1:04.95,4,10.17,1:05.84,3,10.06,1:05.22,5,11.05,1:06.67
2,9.98,1:15.02,1,9.97,1:14.92,4,10.64,1:16.48,3,9.96,1:15.18,5,11.35,1:18.02
2,10.02,1:25.04,1,9.98,1:24.90,4,11.37,1:27.85,3,10.04,1:25.22,5,11.93,1:29.95
2,9.98,1:35.02,1,10.01,1:34.91,4,12.15,1:39.980,3,10.31,1:35.511,5,12.40,1:42.330
