HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
1,16.44,16.44,2,16.58,16.58,3,16.72,16.72,4,16.87,16.87
2,11.92,28.36,4,12.00,28.58,3,11.64,28.36,1,11.29,28.16
2,9.43,37.79,4,9.39,37.97,3,9.53,37.89,1,9.53,37.69
1,9.06,46.85,3,9.02,46.99,2,9.04,46.93,4,9.37,47.06
1,9.21,56.06,3,9.24,56.23,2,9.13,56.06,4,9.27,56.33
2,8.72,1:04.78,3,8.60,1:04.83,1,8.61,1:04.67,4,8.59,1:04.92
2,8.65,1:13.43,4,8.73,1:13.56,1,8.68,1:13.35,3,8.55,1:13.47
2,8.61,1:22.04,4,8.77,1:22.33,1,8.49,1:21.84,3,8.68,1:22.15
2,8.69,1:30.730,4,8.87,1:31.197,1,8.84,1:30.673,3,8.71,1:30.854
