NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
3,12.94,12.94,4,13.06,13.06,2,12.83,12.83,1,12.72,12.72
3,10.03,22.97,4,10.10,23.16,1,9.93,22.76,2,10.08,22.80
1,9.11,32.08,4,9.21,32.37,3,9.51,32.27,2,9.38,32.18
1,9.18,41.26,4,9.18,41.55,2,9.08,41.35,3,9.27,41.45
2,9.13,50.39,4,9.16,50.71,1,9.04,50.39,3,9.09,50.54
2,9.10,59.49,4,8.99,59.70,1,9.07,59.46,3,9.05,59.59
4,9.46,1:08.95,3,9.19,1:08.89,2,9.26,1:08.72,1,9.05,1:08.64
4,9.04,1:17.99,3,8.99,1:17.88,2,9.10,1:17.82,1,9.09,1:17.73
3,9.04,1:27.025,2,9.12,1:26.999,4,9.21,1:27.028,1,9.18,1:26.909
