NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
3,13.45,13.45,1,13.15,13.15,2,13.31,13.31,4,13.58,13.58
3,10.45,23.90,1,10.48,23.63,2,10.49,23.80,4,10.44,24.02
2,9.97,33.87,1,10.11,33.74,3,10.10,33.90,4,10.05,34.07
3,9.57,43.44,1,9.45,43.19,2,9.39,43.29,4,9.47,43.54
3,9.38,52.82,1,9.38,52.57,2,9.41,52.70,4,9.38,52.92
3,9.09,1:01.91,1,9.24,1:01.81,2,9.12,1:01.82,4,9.29,1:02.21
1,8.72,1:10.63,3,8.97,1:10.78,2,8.83,1:10.65,4,8.84,1:11.05
1,8.49,1:19.12,3,8.84,1:19.62,2,8.88,1:19.53,4,8.81,1:19.86
1,9.11,1:28.223,3,9.35,1:28.967,4,25.87,1:45.399,2,9.09,1:28.942
