Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME
1,12.48,12.48,3,13.12,13.12,2,12.74,12.74,4,13.24,13.24
1,9.67,22.15,3,9.27,22.39,2,9.56,22.30,4,9.28,22.52
1,9.65,31.80,3,9.67,32.06,2,9.64,31.94,4,9.68,32.20
1,9.52,41.32,3,9.46,41.52,2,9.49,41.43,4,9.42,41.62
2,9.54,50.86,3,9.47,50.99,1,9.37,50.80,4,9.50,51.12
3,9.51,1:00.37,2,9.27,1:00.26,1,9.27,1:00.07,4,9.41,1:00.53
3,9.47,1:09.84,2,9.47,1:09.73,1,9.30,1:09.37,4,9.48,1:10.01
3,9.93,1:19.77,2,9.66,1:19.39,1,9.32,1:18.69,4,9.77,1:19.78
4,10.35,1:30.111,2,10.18,1:29.563,1,9.92,1:28.609,3,10.11,1:29.885
