Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
1,6.98,6.98,2,7.11,7.11,3,7.40,7.40,4,7.53,7.53
1,9.14,16.12,2,9.13,16.24,3,9.34,16.74,4,9.33,16.86
1,8.59,24.71,2,8.53,24.77,3,8.90,25.64,4,8.97,25.83
1,8.70,33.41,2,8.66,33.43,3,8.98,34.62,4,8.96,34.79
2,10.09,43.497,1,9.33,42.754,4,9.20,43.815,3,9.03,43.811
