Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME
3,15.748,15.748,1,15.479,15.479,2,15.480,15.480,4,15.807,15.807
4,11.444,27.193,1,11.436,26.915,2,11.557,27.036,3,11.382,27.189
4,11.313,38.505,2,11.280,38.196,1,11.112,38.148,3,11.272,38.461
4,11.196,49.701,1,11.297,49.493,2,11.484,49.632,3,11.211,49.671
3,11.295,1:00.996,1,11.254,1:00.746,2,11.283,1:00.915,4,11.371,1:01.043
4,11.192,1:12.188,1,11.197,1:11.944,2,11.148,1:12.064,3,11.132,1:12.175
2,10.428,1:22.616,4,11.342,1:23.286,1,10.381,1:22.445,3,11.006,1:23.181
1,9.627,1:32.242,4,11.552,1:34.837,2,9.806,1:32.250,3,10.351,1:33.532
1,9.513,1:41.756,4,11.909,1:46.746,2,9.805,1:42.056,3,10.582,1:44.114
