Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,12.19,12.19,4,12.33,12.33,1,11.99,11.99,2,12.11,12.11
4,9.19,21.38,2,8.83,21.16,1,9.09,21.08,3,9.16,21.27
4,8.89,30.27,2,8.82,29.98,1,8.81,29.89,3,8.87,30.14
3,8.97,39.24,4,16.32,46.30,1,9.04,38.93,2,9.02,39.16
2,9.10,48.34,4,21.42,1:07.72,1,9.18,48.11,3,9.48,48.64
2,9.00,57.34,4,11.11,1:18.83,1,9.09,57.20,3,9.05,57.69
2,9.11,1:06.45,4,9.82,1:28.65,1,9.11,1:06.31,3,9.12,1:06.81
2,9.26,1:15.71,4,10.03,1:38.68,1,9.21,1:15.52,3,9.63,1:16.44
2,9.72,1:25.426,3,10.64,1:49.311,1,9.43,1:24.950,0,,PEN
