Anna JANSONE POSITION,Anna JANSONE LAP TIME,Anna JANSONE ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME
4,17.99,17.99,2,17.69,17.69,3,17.88,17.88,1,17.59,17.59
3,13.34,31.33,4,13.68,31.37,1,13.27,31.15,2,13.65,31.24
1,11.43,42.76,4,11.70,43.07,2,11.75,42.90,3,11.73,42.97
1,10.97,53.73,4,10.98,54.05,2,10.91,53.81,2,10.84,53.81
2,10.22,1:03.95,4,10.13,1:04.18,1,9.98,1:03.79,3,10.29,1:04.10
2,9.69,1:13.64,4,9.67,1:13.85,1,9.57,1:13.36,3,9.63,1:13.73
3,9.80,1:23.44,4,9.67,1:23.52,1,9.64,1:23.00,2,9.55,1:23.28
3,9.90,1:33.34,4,9.88,1:33.40,1,9.97,1:32.97,2,9.77,1:33.05
4,10.37,1:43.71,3,10.02,1:43.426,2,10.29,1:43.263,1,10.11,1:43.165
