Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Tamas HELFRIH POSITION,Tamas HELFRIH LAP TIME,Tamas HELFRIH ELAPSED TIME
2,12.285,12.285,1,12.170,12.170,3,12.544,12.544,4,13.520,13.520
1,9.398,21.682,3,9.628,21.797,2,9.240,21.784,4,9.968,23.488
1,9.506,31.188,2,9.544,31.341,3,9.645,31.429,4,10.074,33.561
1,9.570,40.757,2,9.639,40.979,3,9.585,41.013,4,10.388,43.949
1,9.756,50.512,2,9.608,50.586,3,9.651,50.663,4,10.489,54.438
1,9.686,1:00.198,2,9.811,1:00.396,3,9.744,1:00.407,4,10.918,1:05.355
3,10.040,1:10.237,2,9.742,1:10.138,1,9.723,1:10.129,4,11.406,1:16.760
3,9.947,1:20.183,1,9.180,1:19.317,2,9.611,1:19.739,4,11.495,1:28.255
3,10.41,1:30.586,1,10.04,1:29.356,2,9.87,1:29.609,4,11.64,1:39.886
