HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME
2,11.51,11.51,3,11.77,11.77,4,11.93,11.93,5,12.18,12.18,1,11.25,11.25
2,14.54,26.05,3,14.45,26.22,4,14.39,26.32,5,14.31,26.49,1,14.58,25.83
2,14.10,40.15,3,14.10,40.32,4,14.10,40.42,5,14.02,40.51,1,14.20,40.03
2,14.41,54.56,3,14.45,54.77,4,14.47,54.89,5,14.57,55.08,1,14.35,54.38
2,14.09,1:08.65,3,14.07,1:08.84,4,14.06,1:08.95,5,14.04,1:09.12,1,14.13,1:08.51
2,13.78,1:22.43,4,13.79,1:22.63,5,13.73,1:22.68,3,13.49,1:22.61,1,13.81,1:22.32
2,11.08,1:33.51,4,11.09,1:33.72,5,11.09,1:33.77,1,10.85,1:33.46,3,11.21,1:33.53
1,10.87,1:44.38,5,11.01,1:44.73,3,10.72,1:44.49,2,11.01,1:44.47,4,11.04,1:44.57
1,10.15,1:54.53,5,10.34,1:55.07,3,10.22,1:54.71,2,10.17,1:54.64,4,10.31,1:54.88
1,10.17,2:04.70,5,10.11,2:05.18,3,10.11,2:04.82,2,10.15,2:04.79,4,10.14,2:05.02
1,10.20,2:14.90,3,9.86,2:15.04,4,10.27,2:15.09,2,10.21,2:15.00,5,10.31,2:15.33
2,9.99,2:24.89,1,9.62,2:24.66,4,9.98,2:25.07,3,9.97,2:24.97,5,10.76,2:26.09
2,9.71,2:34.60,1,9.82,2:34.48,4,9.76,2:34.83,3,9.73,2:34.70,5,11.39,2:37.48
2,10.02,2:44.612,1,10.02,2:44.492,4,10.06,2:44.883,3,10.02,2:44.713,5,12.10,2:49.572
