Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
5,9.20,9.20,4,9.05,9.05,1,8.90,8.90,6,9.23,9.23,2,8.94,8.94,3,9.03,9.03
5,12.19,21.39,4,12.17,21.22,3,12.24,21.14,6,12.29,21.52,2,12.11,21.05,1,11.85,20.88
5,11.69,33.08,1,11.31,32.53,3,11.60,32.74,6,11.70,33.22,4,11.83,32.88,2,11.75,32.63
5,11.33,44.41,1,11.60,44.13,4,11.60,44.34,6,11.36,44.58,3,11.38,44.26,2,11.61,44.24
2,10.01,54.42,3,10.38,54.51,5,10.33,54.67,6,10.21,54.79,1,10.12,54.38,4,10.28,54.52
1,10.02,1:04.44,6,10.36,1:04.87,4,10.07,1:04.74,5,10.04,1:04.83,2,10.17,1:04.55,3,10.10,1:04.62
1,10.47,1:14.91,6,10.58,1:15.45,4,10.49,1:15.23,5,10.40,1:15.23,2,10.49,1:15.04,3,10.50,1:15.12
2,10.20,1:25.11,5,10.07,1:25.52,6,10.46,1:25.69,4,10.16,1:25.39,1,10.06,1:25.10,3,10.15,1:25.27
2,10.14,1:35.25,5,9.97,1:35.49,6,9.95,1:35.64,4,10.03,1:35.42,1,10.02,1:35.12,3,10.06,1:35.33
2,10.16,1:45.41,5,10.23,1:45.72,6,10.25,1:45.89,4,10.19,1:45.61,1,10.17,1:45.29,3,10.19,1:45.52
2,9.85,1:55.26,5,9.77,1:55.49,6,9.95,1:55.84,4,9.84,1:55.45,1,9.88,1:55.17,3,9.83,1:55.35
2,9.63,2:04.89,5,9.76,2:05.25,6,10.39,2:06.23,4,9.74,2:05.19,1,9.63,2:04.80,3,9.65,2:05.00
2,9.52,2:14.41,4,9.62,2:14.87,6,11.50,2:17.73,5,9.99,2:15.18,1,9.50,2:14.30,3,9.50,2:14.50
2,9.65,2:24.056,4,9.58,2:24.450,6,13.43,2:31.153,5,10.67,2:25.847,1,9.70,2:23.993,3,9.69,2:24.182
