Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
1,13.09,13.09,3,13.18,13.18,2,13.09,13.09,4,13.30,13.30,5,13.48,13.48
2,10.17,23.26,3,10.19,23.37,1,10.09,23.18,4,10.14,23.44,5,10.07,23.55
2,9.97,33.23,4,10.09,33.46,1,10.04,33.22,3,9.80,33.24,5,10.04,33.59
1,9.17,42.40,4,9.25,42.71,2,9.28,42.50,3,9.36,42.60,5,9.22,42.81
1,9.11,51.51,4,9.16,51.87,2,9.12,51.62,3,9.13,51.73,5,9.28,52.09
1,8.68,1:00.19,4,8.74,1:00.61,2,8.68,1:00.30,3,8.77,1:00.50,5,8.98,1:01.07
1,8.59,1:08.78,4,8.77,1:09.38,2,8.58,1:08.88,3,8.79,1:09.29,5,9.21,1:10.28
1,8.67,1:17.45,4,9.03,1:18.41,2,8.72,1:17.60,3,9.10,1:18.39,5,9.77,1:20.05
1,8.79,1:26.232,3,9.20,1:27.602,2,8.95,1:26.547,4,9.65,1:28.039,5,10.52,1:30.568
