Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME
1,8.27,8.27,2,8.43,8.43,4,8.65,8.65,5,8.80,8.80,3,8.43,8.43
1,11.65,19.92,2,11.62,20.05,3,11.55,20.20,4,11.43,20.23,5,11.99,20.42
1,10.31,30.23,3,10.44,30.49,4,10.30,30.50,2,10.08,30.31,5,10.33,30.75
1,10.72,40.95,3,10.70,41.19,4,10.71,41.21,2,10.76,41.07,5,10.59,41.34
1,10.33,51.28,5,10.50,51.69,3,10.30,51.51,2,10.43,51.50,4,10.18,51.52
1,10.12,1:01.40,4,9.95,1:01.64,3,10.10,1:01.61,5,10.21,1:01.71,2,10.01,1:01.53
4,9.82,1:11.22,3,9.51,1:11.15,2,9.53,1:11.14,5,9.88,1:11.59,1,9.56,1:11.09
2,9.50,1:20.72,1,9.36,1:20.51,5,18.46,1:29.60,4,9.46,1:21.05,3,9.82,1:20.91
2,9.39,1:30.11,1,9.34,1:29.85,5,11.14,1:40.74,4,9.39,1:30.44,3,9.32,1:30.23
2,9.40,1:39.51,1,9.50,1:39.35,5,10.30,1:51.04,4,9.32,1:39.76,3,9.44,1:39.67
2,9.53,1:49.04,1,9.34,1:48.69,5,10.42,2:01.46,4,9.52,1:49.28,3,9.52,1:49.19
2,9.50,1:58.54,1,9.28,1:57.97,5,10.98,2:12.44,4,9.53,1:58.81,3,9.48,1:58.67
4,9.84,2:08.38,1,9.30,2:07.27,5,11.29,2:23.73,3,9.53,2:08.34,2,9.47,2:08.14
4,9.67,2:18.045,1,9.73,2:17.000,0,,DQ,3,9.69,2:18.023,2,9.83,2:17.968
