Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
2,13.47,13.47,1,13.37,13.37,4,13.71,13.71,3,13.61,13.61
2,11.38,24.85,1,11.39,24.76,4,11.32,25.03,3,11.35,24.96
2,11.44,36.29,1,11.35,36.11,4,11.52,36.55,3,11.48,36.44
1,10.97,47.26,2,11.20,47.31,4,11.03,47.58,3,11.02,47.46
1,10.73,57.99,2,10.80,58.11,4,10.73,58.31,3,10.78,58.24
2,10.61,1:08.60,1,10.47,1:08.58,4,10.56,1:08.87,3,10.52,1:08.76
2,9.53,1:18.13,1,9.39,1:17.97,4,9.73,1:18.60,3,9.75,1:18.51
2,9.19,1:27.32,1,9.23,1:27.20,4,9.62,1:28.22,3,9.64,1:28.15
2,9.19,1:36.507,1,9.28,1:36.480,3,9.70,1:37.911,4,9.83,1:37.974
