LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,KIM Cheol Min POSITION,KIM Cheol Min LAP TIME,KIM Cheol Min ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME
3,9.16,9.16,5,9.48,9.48,4,9.29,9.29,7,9.75,9.75,6,9.62,9.62,2,8.97,8.97,1,8.96,8.96
7,13.11,22.27,5,12.68,22.16,1,12.64,21.93,6,12.52,22.27,3,12.46,22.08,4,13.13,22.10,2,13.00,21.96
7,10.68,32.95,5,10.58,32.74,3,10.59,32.52,1,10.23,32.50,2,10.43,32.51,6,10.76,32.86,4,10.68,32.64
6,10.01,42.96,5,10.09,42.83,2,9.91,42.43,1,9.85,42.35,3,10.06,42.57,7,10.14,43.00,4,10.07,42.71
4,9.54,52.50,6,9.76,52.59,2,9.85,52.28,1,9.86,52.21,3,9.81,52.38,7,9.68,52.68,5,9.79,52.50
1,9.17,1:01.67,7,9.61,1:02.20,4,9.64,1:01.92,3,9.63,1:01.84,6,9.80,1:02.18,2,9.13,1:01.81,5,9.53,1:02.03
1,9.45,1:11.12,6,9.31,1:11.51,4,9.38,1:11.30,2,9.37,1:11.21,7,9.46,1:11.64,3,9.45,1:11.26,5,9.39,1:11.42
1,9.46,1:20.58,5,9.40,1:20.91,3,9.45,1:20.75,2,9.45,1:20.66,7,9.50,1:21.14,4,9.59,1:20.85,6,9.58,1:21.00
1,9.76,1:30.34,5,9.73,1:30.64,2,9.65,1:30.40,3,9.78,1:30.44,7,9.71,1:30.85,4,9.71,1:30.56,6,9.74,1:30.74
1,9.46,1:39.80,4,9.54,1:40.18,2,9.53,1:39.93,5,9.81,1:40.25,7,9.45,1:40.30,3,9.49,1:40.05,6,9.55,1:40.29
1,9.24,1:49.04,4,9.17,1:49.35,2,9.21,1:49.14,7,9.57,1:49.82,5,9.07,1:49.37,3,9.23,1:49.28,6,9.29,1:49.58
1,9.26,1:58.30,5,9.30,1:58.65,2,9.25,1:58.39,7,9.84,1:59.66,3,9.16,1:58.53,4,9.31,1:58.59,6,9.20,1:58.78
1,9.55,2:07.85,5,9.57,2:08.22,3,9.61,2:08.00,7,10.80,2:10.46,2,9.33,2:07.86,4,9.61,2:08.20,6,9.53,2:08.31
2,9.61,2:17.457,4,9.52,2:17.736,3,9.54,2:17.537,7,11.57,2:22.025,1,9.24,2:17.093,6,10.28,2:18.474,5,9.47,2:17.773
